MSA_ID,ra,dec,prism_4,Mgrat_4,prism_5,Mgrat_5,prism_7,Mgrat_7,prism_8,Mgrat_8,prism_9,Mgrat_9,prism_10,Mgrat_10,prism_11,prism_12
002617,214.9223893,52.8219164,False,False,False,False,False,False,False,False,False,False,False,False,True,False
002625,214.9463546,52.8468008,False,False,False,False,False,False,False,False,False,False,True,False,False,False
002630,214.7800617,52.7315654,False,False,False,False,False,False,False,False,False,False,False,False,False,True
002651,214.9753322,52.9385997,False,False,False,False,False,False,False,False,True,False,False,False,False,False
002668,215.0014937,52.9440857,False,False,False,False,False,False,False,False,False,True,False,False,False,False
002675,215.170195,53.0520192,False,False,False,False,True,False,False,False,False,False,False,False,False,False
002683,214.9037118,52.8539483,False,False,False,False,False,False,False,False,False,False,False,False,True,False
002692,215.1342442,53.0092986,False,False,False,False,False,False,True,False,False,False,False,False,False,False
002693,215.0693519,52.9587942,False,False,False,False,False,False,True,True,False,False,False,False,False,False
002695,214.799715,52.766436,False,False,False,False,False,False,False,False,False,False,False,False,False,True
002696,215.1737646,53.0309019,False,False,False,False,True,True,False,False,False,False,False,False,False,False
002754,215.1681744,53.0510583,False,False,False,False,False,True,False,False,False,False,False,False,False,False
002759,214.8712313,52.8450664,True,False,False,False,False,False,False,False,False,False,False,False,False,False
002772,215.126359,52.9754674,False,False,False,False,False,False,True,False,False,False,False,False,False,False
002774,214.9102895,52.8255223,False,False,False,False,False,False,False,False,False,False,False,False,True,False
002779,214.895621,52.8564964,False,False,False,False,False,False,False,False,False,False,False,False,True,False
002780,215.0946815,52.9982392,False,False,False,False,False,False,True,False,False,False,False,False,False,False
002781,215.1681744,53.0510583,False,False,False,False,True,False,False,False,False,False,False,False,False,False
002782,214.8234525,52.8302813,True,True,False,False,False,False,False,False,False,False,False,False,False,False
002808,214.9753175,52.9386067,False,False,False,False,False,False,False,False,False,True,False,False,False,False
002900,215.1386231,53.0010372,False,False,False,False,False,False,False,True,False,False,False,False,False,False
002904,215.0480768,52.9683408,False,False,False,True,False,False,False,False,False,False,False,False,False,False
002919,214.8858653,52.8397198,True,True,False,False,False,False,False,False,False,False,False,False,False,False
002922,214.8707625,52.8331392,False,False,False,False,False,False,False,False,False,False,False,False,True,False
002936,215.1871869,53.0596653,False,False,False,False,True,False,False,False,False,False,False,False,False,False
002962,215.1632372,53.0315106,False,False,False,False,True,False,False,False,False,False,False,False,False,False
002968,215.0464678,53.0088579,False,False,True,False,False,False,False,False,False,False,False,False,False,False
002972,214.9169401,52.8273604,False,False,False,False,False,False,False,False,False,False,False,False,True,False
002989,215.122697,53.009834,False,False,False,False,False,False,True,True,False,False,False,False,False,False
